SchoolID,SchoolName,FullName,CPSUnit
400010,Ace Technical Chtr HS,"Architecture, Construction, and Engineering(ACE)Technical Charter School",7950
609772,Addams,Jane Addams Elementary School,2020
609773,Agassiz,Louis A Agassiz Elementary School,2030
610513,Air Force HS,Air Force Academy High School,1055
610212,Albany Park,Albany Park Multicultural Academy,6290
609774,Alcott ES,Louisa May Alcott Elementary School,2040
610524,Alcott HS,Alcott High School for the Humanities,8035
609848,Aldridge,Ira F Aldridge Elementary School,2710
400012,Amandla Chtr HS,Amandla Charter High School,2035
609780,Ames,Ames Middle School,2090
609695,Amundsen HS,Roald Amundsen High School,1210
609951,Ariel,Ariel Elementary Community Academy,3640
609777,Armour,Phillip D Armour Elementary School,2070
609779,"Armstrong, G",George Armstrong International Studies ES,2080
610287,Ashburn,Ashburn Community Elementary School,7100
610268,Ashe,Arthur R Ashe Elementary School,6900
400060,Asian Human Services Chtr - Passages,Asian Human Services - Passages Charter School,6850
400013,Aspira Chtr - Early College HS,ASPIRA Charter - Early College,7803
400017,Aspira Chtr - Haugan,ASPIRA Charter - Haugan Campus,3500
400015,Aspira Chtr - Ramirez HS,ASPIRA Charter - Mirta Ramirez Computer Science,7800
609781,Attucks,Crispus Attucks Elementary School,2100
609782,Audubon,John J Audubon Elementary School,2110
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,7020
610501,Austin Poly HS,Austin Polytechnical Academy High School,1065
609786,Avalon Park,Avalon Park Elementary School,2130
610544,Azuela,Mariano Azuela Elementary School,8660
610563,Back Of The Yards Ib HS,Back of the Yards IB HS,9623
610555,Banner Academy West HS,Banner Academy West,8685
609788,Barnard,Alice L Barnard Computer Math & Science Ctr ES,2150
609789,Barry,John Barry Elementary School,2160
609790,Barton,Clara Barton Elementary School,2170
609791,Bass,Perkins Bass Elementary School,2180
609792,Bateman,Newton Bateman Elementary School,2190
610083,Beard,Daniel C Beard Elementary School,4950
610246,Beasley,Edward Beasley Elementary Magnet Academic Center,6660
609796,Beaubien,Jean Baptiste Beaubien Elementary School,2240
610237,Beethoven,Ludwig Van Beethoven Elementary School,6540
609797,Beidler,Jacob Beidler Elementary School,2250
609798,Belding,Hiram H Belding Elementary School,2260
609799,Bell,Alexander Graham Bell Elementary School,2270
609922,Belmont-cragin,Belmont-Cragin Elementary School,3390
609800,Bennett,Frank I Bennett Elementary School,2280
610350,Black,Robert A Black Magnet Elementary School,7860
609803,Blaine,James G Blaine Elementary School,2300
610087,Blair,Blair Early Childhood Center,4990
609698,Bogan HS,William J Bogan High School,1230
610238,Bond,Carrie Jacobs Bond Elementary School,6550
609804,Boone,Daniel Boone Elementary School,2320
609815,Bouchet,Edward A Bouchet Math & Science Academy ES,2430
610323,Bowen HS,Bowen High School,7540
609806,Bradwell,Myra Bradwell Communications Arts & Sciences ES,2340
610242,Brennemann,Joseph Brennemann Elementary School,6600
609809,Brentano,Lorenz Brentano Math & Science Academy ES,2370
609810,Bridge,Norman A Bridge Elementary School,2380
610566,Bridgescape Academy Of North Lawndale,Magic Johnson Bridgescape Academy North Lawndale,9631
610567,Bridgescape Academy Of South Shore,Magic Johnson Bridgescape Academy South Shore,9632
609811,Bright,Orville T Bright Elementary School,2390
610317,Brighton Park,Brighton Park Elementary School,7470
610381,Bronzeville HS,Bronzeville Scholastic Academy High School,7270
400019,Bronzeville Lthouse Chtr Campus,Bronzeville Lighthouse Charter Elementary School,3990
609726,Brooks HS,Gwendolyn Brooks College Preparatory Academy HS,1500
610091,"Brown, R",Ronald Brown Elementary Community Academy,5040
609812,"Brown, W",William H Brown Elementary School,2400
609813,Brownell,Charles S Brownell Elementary School,2410
609830,Brunson,Milton Brunson Math & Science Specialty ES,2550
609817,Budlong,Lyman A Budlong Elementary School,2440
609818,Burbank,Luther Burbank Elementary School,2450
609819,Burke,Edmond Burke Elementary School,2460
609820,Burley,Augustus H Burley Elementary School,2470
609821,Burnham,Burnham Elementary Inclusive Academy,2480
609827,Burnside,Burnside Elementary Scholastic Academy,2520
609828,Burr,Jonathan Burr Elementary School,2530
609829,Burroughs,John C Burroughs Elementary School,2540
609832,Byrne,Michael M Byrne Elementary School,2570
609833,Caldwell,Charles P Caldwell Academy of Math & Science ES,2580
610353,Calmeca,Calmeca Academy of Fine Arts and Dual Language,7880
610565,Camelot - Excel Academy Of Englewood,Excel Academy of Englewood,9630
610572,Camelot - Safe School Program ES,Camelot Safe Academy Elementary,9637
