Unit,FY00_Name,FY00Total,FY00_WhitePct,Fy00_AfrianAmericanPct,FY00_AsianPct,FY00_HispanicPct
2010,Abbott,326,0.3,99.4,0,0.3
1780,ACORN Charter,157,0.6,2.5,0,96.8
1720,ACT Charter,241,0.4,92.1,0.4,7.1
2020,Addams,698,10.6,0.1,0.1,88.7
2030,Agassiz,599,22.7,33.9,3.2,40.1
6290,Albany Park Acad,273,18.3,7.7,29.3,44.7
2040,Alcott,467,15,45,13.7,26.1
2710,Aldridge,505,0,100,0,0
2050,Altgeld,798,0,99.9,0,0.1
2090,Ames,796,2.1,7.4,0,90.5
1210,Amundsen HS,1704,28.3,8.7,11.8,51.1
2060,Andersen Com Acad,824,3.5,14,0.2,81.8
7480,Anderson Comm Acad,573,0.3,97.9,0.2,1.6
4590,Arai Middle,563,3.7,55.2,10.5,30
3640,Ariel Comm,207,0.5,99,0,0.5
2070,Armour,628,18.9,7.3,1.1,72.6
2080,"Armstrong, G.",1277,12.8,20.4,22.8,44
5700,"Armstrong, L.",239,0,100,0,0
1900,Arts of Living HS,137,2.2,68.6,0,29.2
6900,Ashe,748,0,100,0,0
2100,Attucks,441,0,100,0,0
2110,Audubon,545,17.1,4.8,7.5,64.4
1220,Austin Comm HS,1069,0,99.9,0,0.1
2130,Avalon Park,749,0.1,99.9,0,0
2140,Avondale,1037,3.5,5.2,0.7,90.3
6880,Banneker,537,0.6,98.7,0,0.7
2920,Barbara Vick Center,128,77.3,18,0,4.7
2150,Barnard,369,12.5,83.2,0.5,3.5
2160,Barry,829,9.2,0.7,1.7,88.4
2170,Barton,828,0,100,0,0
2180,Bass,804,0,100,0,0
2190,Bateman,1001,14.2,3.7,8.9,72.6
4950,Beard,168,57.7,19,1.8,20.8
6660,Beasley Acad,1436,7.2,87.7,2.7,1.9
2240,Beaubien,913,53.1,5.6,12.2,28
6540,Beethoven,762,0,100,0,0
2250,Beidler,452,0,99.8,0,0.2
2260,Belding,508,43.3,4.9,10.2,40.6
2270,Bell,731,45.7,13.5,10.7,29.4
2280,Bennett,673,0,99.9,0,0.1
1020,Best Practice HS,440,2.7,61.8,0.7,34.8
8020,Bethune,587,0,100,0,0
7860,Black Magnet,467,1.1,93.4,0.4,4.5
2300,Blaine,531,20.5,13.2,5.8,60.3
4990,Blair,115,15.7,47,1.7,34.8
1230,Bogan HS,1792,14.7,56.9,3.6,24.6
6550,Bond,726,0,98.5,0.3,1.2
5750,Bontemps,654,0,100,0,0
2320,Boone,1109,40.8,6,26.8,26.1
2430,Bouchet Acad,1525,0,99.6,0,0.4
1240,Bowen HS,1070,0.2,57.4,0,42.4
2340,Bradwell,1347,0,100,0,0
2360,Brenan,924,0.1,99.9,0,0
6600,Brennemann,510,3.7,53.7,7.6,34.9
2370,Brentano,951,7.6,3,1.2,88.1
2380,Bridge,689,65.3,13.1,3.8,17.1
2390,Bright,580,3.8,45.3,0,50.9
7470,Brighton Park,526,12.7,0.4,0.6,86.1
5040,"Brown, R.",430,0.2,99.5,0,0.2
2400,"Brown, W.",402,0,98.5,0.2,1.2
2410,Brownell,413,0,100,0,0
6980,Buckingham Sp Ed,42,2.4,95.2,0,2.4
2440,Budlong,1014,35.5,4.8,20.7,39
6830,Bunche,659,0,100,0,0
2450,Burbank,1146,4.4,10.4,2.7,82.3
2460,Burke,396,0,100,0,0
2470,Burley,344,18.6,9.9,3.2,68.3
2480,Burnham Acad,376,0,97.9,0,1.9
2510,Burns,749,0.1,0.5,0,99.3
2520,Burnside Acad,831,0,98.8,0.1,1.1
2530,Burr,457,7.9,5,0,84.2
2540,Burroughs,519,12.9,1.7,1.9,82.9
2550,Byford,563,0,99.8,0,0.2
2560,Byrd Comm Acad,449,0.2,98.9,0,0.9
2570,Byrne,496,64.3,9.5,2,23.8
1730,C.B. York Alt HS,588,5.3,76.4,0.3,18
2580,Caldwell,662,0.2,99.5,0,0.3
6610,Calhoun North,573,0.3,99.7,0,0
1250,Calumet HS,976,0,100,0,0
2610,Cameron,1250,1.3,40.2,0,57.4
2620,Canty,495,68.5,7.1,4,20.4
4320,Cardenas,839,0.4,0.6,0,99
2630,Carnegie,519,0,99.8,0,0.2
2640,Carpenter,528,2.7,27.3,1.1,68.9
2650,Carroll,1105,1.2,97.4,0.1,1.4
2660,Carson,1250,1.3,7,0,91.7
2670,Carter,725,0,100,0,0
1850,Carver HS,687,0,99.9,0,0.1
2700,Carver Middle,497,0,99.8,0,0.2
2690,Carver Primary,812,0.1,99.9,0,0
4290,"Casals, P.",787,0.4,51.1,0.3,48.3
2720,Cassell,310,74.5,20,0.6,3.5
6730,Cather,489,0,100,0,0
2740,Chalmers,433,0,100,0,0
2750,Chappell,580,21,2.9,12.8,63.3
2760,Chase,855,6.1,3.3,0.2,90.4
5640,Chavez,885,4.5,7.8,0,87.7
1790,Chicago Argiculture HS,564,24.8,60.5,0.7,13.5
2420,Chicago Int'l -Longwood,1131,0.3,99.4,0,0.4
4910,Chicago Int'l-Bucktown,598,13.5,36,1.5,48.3
4220,Chicago Int'l-Prairie,311,0,52.7,0,47.3
1800,Chicago Military Acad,149,4,78.5,0,16.8
1010,Chicago Vocational,2271,0,99.7,0,0.2
2770,Chopin,619,4.7,6.8,0.8,87.7
2780,Christopher,248,16.1,49.6,0,34.3
2230,"Clark, G.",399,8.3,52.1,2,36.8
6620,"Clark, M. Middle",711,0,99.6,0.3,0.1
2790,Clay,633,52.4,7.4,0.8,39
1840,Clemente Comm Acad HS,1809,1.8,11.9,0.4,85.7
2800,Cleveland,799,17.4,3.9,9,69.5
2810,Clinton,1533,36.9,7,32.7,23.2
2820,Clissold,704,46.6,49.4,0.9,3
2830,Coles,1002,0.1,98.4,0,1.5
1880,Collins HS,845,0,100,0,0
2840,Colman,629,0,100,0,0
2850,Columbus,360,39.4,4.4,0.3,55.8
2860,Cook,885,0,99.9,0,0.1
2880,Coonley,367,28.1,8.2,4.1,58.6
2890,Cooper,903,0.2,0.4,0,99.3
2900,Copernicus,456,0,99.3,0,0.7
2910,Corkery,813,1.2,24.5,0,74.3
1860,Corliss HS,1075,0,99.8,0,0.2
7910,Courtenay,271,17.3,22.5,5.5,54.2
1270,Crane HS,1154,0.3,99.1,0,0.5
2940,Crown Comm Acad,559,0,99.3,0,0.7
4090,Cuffe,409,0,100,0,0
4100,Cullen,380,0,100,0,0
1820,Curie Magnet HS,3011,15.2,32.2,3.2,49.4
3160,Curtis,939,0.2,99,0,0.6
6560,Daley Acad,854,1.4,31.4,0,67.2
2960,Darwin,1141,3.2,9,0.1,87.6
7430,Davis Dev. Ctr,75,2.7,89.3,0,8
7180,"Davis, M. Acad",474,0,100,0,0
2970,"Davis, N.",1845,7.6,0.3,0,92
2980,Dawes,1473,18,44.5,1.1,36.3
7420,De Diego Comm Acad,1427,3.4,11.1,0.8,84.7
7330,De La Cruz,241,0.4,2.1,0,97.5
2990,Decatur Classical,271,43.5,19.6,19.2,15.9
3000,Delano,742,0,99.9,0,0
3010,Deneen,645,0.3,99.7,0,0
8050,DePriest,605,0,99.8,0.2,0
6740,Dett,524,0.2,99.2,0,0.6
3020,Dever,676,74.1,4.6,1.8,19.4
3030,Dewey,480,0,100,0,0
2950,Dirksen,560,70.4,6.8,6.8,15.7
8000,Disney Magnet,1706,25.4,34.9,11.4,27.4
3040,Dixon,784,0,100,0,0
3050,Dodge,340,0,100,0,0
6790,Donoghue,611,0.2,99.8,0,0
3070,Doolittle Intermediate,415,0.2,99.8,0,0
7620,Doolittle West,681,0,100,0,0
3080,Dore,421,65.6,11.4,0.7,22.3
1980,Dorsey APC,123,1.6,82.9,1.6,13.8
3090,Douglas Comm Acad,621,0,100,0,0
6630,Douglass Acad,715,0,100,0,0
3100,Drake,388,0,100,0,0
3120,Drummond,310,13.9,4.2,0,81
8010,DuBois,488,0,94.1,0.2,5.7
1123,Dugan Alternative HS,27,3.7,0,0,96.3
6860,Dulles,875,0,99.9,0,0.1
6890,Dumas,641,0,100,0,0
1030,Dunbar HS,1832,0.1,99.9,0,0.1
6050,Dunne,540,0,100,0,0
1280,DuSable HS,960,0,100,0,0
6760,Dvorak,676,0,100,0,0
8070,Dyett Middle,508,0,100,0,0
7450,Earhart,219,0.5,99.5,0,0
3130,Earle,760,0.1,99.7,0,0.1
3140,Eberhart,1370,11.5,3.4,0.3,84.7
3150,Ebinger,391,79,2.8,4.1,14.1
3170,Edgebrook,277,74.4,5.1,10.8,9
2220,Edison,269,33.5,18.6,18.2,28.3
3200,Edwards,1068,37.2,0.7,0.1,61.8
3220,Ellington,736,0,100,0,0
3230,Emmet,736,0.1,99.9,0,0
1680,Englewood HS,963,0,99.9,0,0.1
3240,Ericson,735,0,100,0,0
3250,Esmond,626,0,99.8,0,0.2
3260,Everett,437,17.4,1.6,3.9,76.9
7490,Evergreen Acad,364,8.2,0.5,3.3,87.1
7990,Evers,259,0,100,0,0
3270,Falconer,1162,20.7,1.5,1.3,76.4
4640,Faraday,615,0,100,0,0
3280,Farnsworth,529,59,7.6,8.1,20.6
1300,Farragut Car Acad HS,2182,0.4,12.2,0,87.4
3300,Farren,430,0,100,0,0
1310,Fenger HS,796,0.3,99.5,0,0.3
3320,Fermi,486,0.2,99.8,0,0
3330,Fernwood,450,0,100,0,0
3350,Field,1443,7.3,45.1,3.3,43.6
3760,Finkl,760,0.4,12.4,0,87.2
3360,Fiske,558,0,100,0,0
1040,Flower HS,672,0,99.3,0,0.7
1330,Foreman HS,1500,25.1,10.2,1.1,63.7
3400,Fort Dearborn,890,0,100,0,0
3430,Foster Park,817,0.2,99.4,0.1,0.2
3310,Foundations,176,0.6,97.7,0.6,1.1
3420,Franklin Magnet,361,29.6,32.1,15.5,19.7
7780,Frazier,601,0,100,0,0
3440,Fuller,444,0,100,0,0
3450,Fulton,956,0,93.8,0,6.2
3460,Funston,905,2.3,11.8,0,85.4
1260,Future Com Prof Prep,111,1.8,95.5,0,2.7
1370,Future Comm Tech HS,130,0,99.2,0,0.8
1340,Gage Park HS,1485,0.9,53.9,0.2,44.9
3480,Gale Comm Acad,965,2.4,75.5,1.9,19.8
4160,Galileo Scholastic,606,18.6,25.2,3.3,52.8
3490,Gallistel Lang Acad,1067,5.8,1.1,0.1,93
5420,Garvey,659,0,100,0,0
3510,Garvy,429,81.1,2.8,4.7,10.5
3520,Gary,1269,0.6,0.3,0,99.1
3530,Gillespie,830,0,100,0,0
3540,Gladstone,607,0.5,69.5,0,29.5
3560,Goethe,846,4.8,2.6,0.2,92.3
7840,Goldblatt,700,0,99.9,0,0
3570,Gompers,511,0,99.6,0.2,0.2
3290,Goodlow Magnet,719,1.3,98.7,0,0
3590,Goudy,938,22.2,20.8,27.8,28.6
3600,Graham,907,54.2,25.8,0,19.8
1950,Graham Trianing HS,192,3.1,68.8,1.6,26.6
3610,Grant,752,0,100,0,0
3620,Gray,1303,44.9,1.2,2.9,50.6
2730,Greeley,575,16.3,20,3.8,59.8
4410,"Green, W.",340,0.3,99.7,0,0
3650,Greene,750,15.3,0.1,4.4,80
3660,Gregory,673,0,99.9,0,0.1
3670,Gresham,684,0,100,0,0
3680,Grimes,395,51.6,10.1,0,38.2
3580,Grissom,295,51.2,13.6,0,35.3
7050,Guggenheim,444,0,100,0,0
3690,Gunsaulus Acad,721,25.2,25.5,5.5,43.4
3700,Haines,713,0.4,31.7,67.3,0.4
3710,Hale,701,63.8,3.4,2.4,29.8
