Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Charter,400010,ACE Tech Chtr HS,ACE TECH CHTR HS,481,11,2.3,366,76.1,0,0,3,0.6,100,20.8,1,0.2,0,0,0,0,0,0
Charter,400146,ACT Charter,ACT CHARTER,166,0,0,160,96.4,0,0,0,0,6,3.6,0,0,0,0,0,0,0,0
Network 13,609772,Addams,ADDAMS,866,19,2.2,12,1.4,0,0,0,0,831,96,3,0.3,1,0.1,0,0,0,0
Network 4,609773,Agassiz,AGASSIZ,484,170,35.1,119,24.6,0,0,1,0.2,160,33.1,19,3.9,13,2.7,2,0.4,0,0
Military,610513,Air Force Acad HS,AIR FORCE ACAD HS,369,36,9.8,152,41.2,0,0,0,0,164,44.4,4,1.1,12,3.3,1,0.3,0,0
Network 1,610212,Albany Park Middle,ALBANY PARK MIDDLE,280,12,4.3,16,5.7,0,0,0,0,217,77.5,3,1.1,32,11.4,0,0,0,0
Network 4,609774,Alcott,ALCOTT,510,326,63.9,46,9,1,0.2,0,0,74,14.5,29,5.7,30,5.9,0,0,4,0.8
Network 4,610524,Alcott HS,ALCOTT HS,281,34,12.1,84,29.9,0,0,5,1.8,150,53.4,3,1.1,3,1.1,2,0.7,0,0
OS4,609848,Aldridge,ALDRIDGE,252,0,0,252,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charter,400012,Amandla Elementay Chrtr,AMANDLA ELEMENTAY CHRTR,354,1,0.3,344,97.2,0,0,0,0,2,0.6,1,0.3,0,0,0,0,6,1.7
Network 4,609780,Ames Middle,AMES MIDDLE,542,0,0,26,4.8,0,0,1,0.2,509,93.9,3,0.6,3,0.6,0,0,0,0
Network 2,609695,Amundsen HS,AMUNDSEN HS,"1,266",129,10.2,138,10.9,1,0.1,6,0.5,787,62.2,8,0.6,185,14.6,5,0.4,7,0.6
Network 9,609951,Ariel,ARIEL,565,2,0.4,547,96.8,0,0,0,0,13,2.3,2,0.4,1,0.2,0,0,0,0
Network 6,609777,Armour,ARMOUR,324,28,8.6,8,2.5,0,0,0,0,274,84.6,2,0.6,12,3.7,0,0,0,0
Network 2,609779,Armstrong G.,ARMSTRONG G.,"1,444",111,7.7,414,28.7,0,0,11,0.8,627,43.4,28,1.9,251,17.4,1,0.1,1,0.1
Network 10,610287,Ashburn,ASHBURN,475,3,0.6,388,81.7,0,0,0,0,74,15.6,9,1.9,1,0.2,0,0,0,0
OS4,610268,Ashe,ASHE,392,0,0,386,98.5,0,0,0,0,6,1.5,0,0,0,0,0,0,0,0
Charter,400013,ASPIRA Chrt - Early College,ASPIRA CHRT - EARLY COLLEGE,568,4,0.7,14,2.5,0,0,3,0.5,538,94.7,0,0,5,0.9,0,0,4,0.7
Charter,400017,ASPIRA Chrt - Haugan,ASPIRA CHRT - HAUGAN,565,12,2.1,18,3.2,0,0,5,0.9,508,89.9,6,1.1,14,2.5,1,0.2,1,0.2
Charter,400015,ASPIRA Chrt - Ramirez,ASPIRA CHRT - RAMIREZ,166,5,3,14,8.4,0,0,1,0.6,146,88,0,0,0,0,0,0,0,0
Network 9,609781,Attucks,ATTUCKS,168,0,0,166,98.8,0,0,0,0,1,0.6,0,0,0,0,0,0,1,0.6
Network 4,609782,Audubon,AUDUBON,591,342,57.9,19,3.2,0,0,0,0,172,29.1,31,5.2,10,1.7,2,0.3,15,2.5
Network 3,400018,Austin Bus & Entrp HS,AUSTIN BUS & ENTRP HS,186,0,0,186,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Network 3,610501,Austin Poly Tech HS,AUSTIN POLY TECH HS,196,1,0.5,190,96.9,0,0,1,0.5,4,2,0,0,0,0,0,0,0,0
Network 12,609786,Avalon Park,AVALON PARK,308,1,0.3,302,98.1,0,0,1,0.3,3,1,1,0.3,0,0,0,0,0,0
Network 10,610544,Azuela,AZUELA,944,28,3,8,0.8,0,0,6,0.6,884,93.6,1,0.1,3,0.3,0,0,14,1.5
Network 8,610563,Back of the Yards IB HS,BACK OF THE YARDS IB HS,281,6,2.1,9,3.2,0,0,1,0.4,248,88.3,0,0,17,6,0,0,0,0
Options,610555,Banner West HS,BANNER WEST HS,296,0,0,283,95.6,0,0,0,0,7,2.4,5,1.7,0,0,0,0,1,0.3
OS4,609788,Barnard,BARNARD,301,1,0.3,288,95.7,0,0,0,0,6,2,4,1.3,1,0.3,1,0.3,0,0
Network 4,609789,Barry,BARRY,831,13,1.6,10,1.2,0,0,1,0.1,791,95.2,7,0.8,9,1.1,0,0,0,0
Network 11,609790,Barton,BARTON,591,2,0.3,584,98.8,0,0,0,0,4,0.7,1,0.2,0,0,0,0,0,0
Network 11,609791,Bass,BASS,566,0,0,552,97.5,0,0,2,0.4,11,1.9,0,0,0,0,1,0.2,0,0
Network 1,609792,Bateman,BATEMAN,"1,036",94,9.1,26,2.5,0,0,6,0.6,833,80.4,4,0.4,38,3.7,1,0.1,34,3.3
Network 1,610083,Beard,BEARD,169,60,35.5,10,5.9,0,0,0,0,76,45,6,3.6,16,9.5,1,0.6,0,0
Network 9,610246,Beasley Magnet,BEASLEY MAGNET,"1,403",0,0,"1,363",97.1,0,0,4,0.3,26,1.9,4,0.3,2,0.1,2,0.1,2,0.1
Network 1,609796,Beaubien,BEAUBIEN,"1,166",447,38.3,20,1.7,3,0.3,6,0.5,450,38.6,56,4.8,163,14,5,0.4,16,1.4
Network 9,610237,Beethoven,BEETHOVEN,395,1,0.3,383,97,0,0,0,0,4,1,0,0,0,0,0,0,7,1.8
OS4,609797,Beidler,BEIDLER,463,0,0,452,97.6,0,0,1,0.2,9,1.9,1,0.2,0,0,0,0,0,0
Network 1,609798,Belding,BELDING,606,206,34,43,7.1,0,0,4,0.7,299,49.3,12,2,31,5.1,8,1.3,3,0.5
Network 4,609799,Bell,BELL,"1,048",640,61.1,22,2.1,0,0,5,0.5,230,21.9,80,7.6,65,6.2,4,0.4,2,0.2
Network 3,609922,Belmont-Cragin,BELMONT-CRAGIN,587,17,2.9,24,4.1,0,0,4,0.7,535,91.1,3,0.5,2,0.3,2,0.3,0,0
Network 13,609800,Bennett,BENNETT,419,1,0.2,405,96.7,0,0,0,0,7,1.7,6,1.4,0,0,0,0,0,0
Network 12,610350,Black Magnet,BLACK MAGNET,474,0,0,453,95.6,0,0,0,0,5,1.1,2,0.4,0,0,0,0,14,3
Network 4,609803,Blaine,BLAINE,943,563,59.7,42,4.5,0,0,2,0.2,245,26,44,4.7,34,3.6,13,1.4,0,0
