SchoolID,SchoolName,FullName,CPSUnit,Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct,lat,lng
400010,Ace Technical Chtr HS,"Architecture, Construction, and Engineering(ACE)Technical Charter School",7950,Charter,400010,ACE Tech Chtr HS,ACE TECH CHTR HS,481,11,2.3,366,76.1,0,0,3,0.6,100,20.8,1,0.2,0,0,0,0,0,0,41.795972,-87.62630279999999
609772,Addams,Jane Addams Elementary School,2020,Network 13,609772,Addams,ADDAMS,866,19,2.2,12,1.4,0,0,0,0,831,96,3,0.3,1,0.1,0,0,0,0,41.6988814,-87.53289
609773,Agassiz,Louis A Agassiz Elementary School,2030,Network 4,609773,Agassiz,AGASSIZ,484,170,35.1,119,24.6,0,0,1,0.2,160,33.1,19,3.9,13,2.7,2,0.4,0,0,41.9339239,-87.6557787
610513,Air Force HS,Air Force Academy High School,1055,Military,610513,Air Force Acad HS,AIR FORCE ACAD HS,369,36,9.8,152,41.2,0,0,0,0,164,44.4,4,1.1,12,3.3,1,0.3,0,0,41.8284801,-87.63269989999999
610212,Albany Park,Albany Park Multicultural Academy,6290,Network 1,610212,Albany Park Middle,ALBANY PARK MIDDLE,280,12,4.3,16,5.7,0,0,0,0,217,77.5,3,1.1,32,11.4,0,0,0,0,41.9710949,-87.70946350000001
609774,Alcott ES,Louisa May Alcott Elementary School,2040,Network 4,609774,Alcott,ALCOTT,510,326,63.9,46,9,1,0.2,0,0,74,14.5,29,5.7,30,5.9,0,0,4,0.8,41.929482,-87.64608170000001
610524,Alcott HS,Alcott High School for the Humanities,8035,Network 4,610524,Alcott HS,ALCOTT HS,281,34,12.1,84,29.9,0,0,5,1.8,150,53.4,3,1.1,3,1.1,2,0.7,0,0,41.9356386,-87.6802788
609848,Aldridge,Ira F Aldridge Elementary School,2710,OS4,609848,Aldridge,ALDRIDGE,252,0,0,252,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65733760000001,-87.6070331
400012,Amandla Chtr HS,Amandla Charter High School,2035,Charter,400012,Amandla Elementay Chrtr,AMANDLA ELEMENTAY CHRTR,354,1,0.3,344,97.2,0,0,0,0,2,0.6,1,0.3,0,0,0,0,6,1.7,41.7708441,-87.63258569999999
609780,Ames,Ames Middle School,2090,Network 4,609780,Ames Middle,AMES MIDDLE,542,0,0,26,4.8,0,0,1,0.2,509,93.9,3,0.6,3,0.6,0,0,0,0,41.91634930000001,-87.72232869999999
609695,Amundsen HS,Roald Amundsen High School,1210,Network 2,609695,Amundsen HS,AMUNDSEN HS,"1,266",129,10.2,138,10.9,1,0.1,6,0.5,787,62.2,8,0.6,185,14.6,5,0.4,7,0.6,41.9751493,-87.6799965
609951,Ariel,Ariel Elementary Community Academy,3640,Network 9,609951,Ariel,ARIEL,565,2,0.4,547,96.8,0,0,0,0,13,2.3,2,0.4,1,0.2,0,0,0,0,41.8111549,-87.59825889999999
609777,Armour,Phillip D Armour Elementary School,2070,Network 6,609777,Armour,ARMOUR,324,28,8.6,8,2.5,0,0,0,0,274,84.6,2,0.6,12,3.7,0,0,0,0,41.8340174,-87.64999089999999
609779,"Armstrong, G",George Armstrong International Studies ES,2080,Network 2,609779,Armstrong G.,ARMSTRONG G.,"1,444",111,7.7,414,28.7,0,0,11,0.8,627,43.4,28,1.9,251,17.4,1,0.1,1,0.1,42.01034689999999,-87.6850224
610287,Ashburn,Ashburn Community Elementary School,7100,Network 10,610287,Ashburn,ASHBURN,475,3,0.6,388,81.7,0,0,0,0,74,15.6,9,1.9,1,0.2,0,0,0,0,41.7423623,-87.7095047
610268,Ashe,Arthur R Ashe Elementary School,6900,OS4,610268,Ashe,ASHE,392,0,0,386,98.5,0,0,0,0,6,1.5,0,0,0,0,0,0,0,0,41.7400343,-87.6009832
400060,Asian Human Services Chtr - Passages,Asian Human Services - Passages Charter School,6850,Charter,400060,Passages Chrt,PASSAGES CHRT,440,25,5.7,215,48.9,2,0.5,3,0.7,91,20.7,24,5.5,73,16.6,4,0.9,3,0.7,41.9832766,-87.67123509999999
400013,Aspira Chtr - Early College HS,ASPIRA Charter - Early College,7803,Charter,400013,ASPIRA Chrt - Early College,ASPIRA CHRT - EARLY COLLEGE,568,4,0.7,14,2.5,0,0,3,0.5,538,94.7,0,0,5,0.9,0,0,4,0.7,41.9374637,-87.7267682
400017,Aspira Chtr - Haugan,ASPIRA Charter - Haugan Campus,3500,Charter,400017,ASPIRA Chrt - Haugan,ASPIRA CHRT - HAUGAN,565,12,2.1,18,3.2,0,0,5,0.9,508,89.9,6,1.1,14,2.5,1,0.2,1,0.2,41.96633509999999,-87.72183179999999
400015,Aspira Chtr - Ramirez HS,ASPIRA Charter - Mirta Ramirez Computer Science,7800,Charter,400015,ASPIRA Chrt - Ramirez,ASPIRA CHRT - RAMIREZ,166,5,3,14,8.4,0,0,1,0.6,146,88,0,0,0,0,0,0,0,0,41.9128678,-87.6964062
609781,Attucks,Crispus Attucks Elementary School,2100,Network 9,609781,Attucks,ATTUCKS,168,0,0,166,98.8,0,0,0,0,1,0.6,0,0,0,0,0,0,1,0.6,41.8024973,-87.6258326
609782,Audubon,John J Audubon Elementary School,2110,Network 4,609782,Audubon,AUDUBON,591,342,57.9,19,3.2,0,0,0,0,172,29.1,31,5.2,10,1.7,2,0.3,15,2.5,41.9453833,-87.6811506
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,7020,Network 3,400018,Austin Bus & Entrp HS,AUSTIN BUS & ENTRP HS,186,0,0,186,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8851391,-87.7626951
610501,Austin Poly HS,Austin Polytechnical Academy High School,1065,Network 3,610501,Austin Poly Tech HS,AUSTIN POLY TECH HS,196,1,0.5,190,96.9,0,0,1,0.5,4,2,0,0,0,0,0,0,0,0,41.8851391,-87.7626951
609786,Avalon Park,Avalon Park Elementary School,2130,Network 12,609786,Avalon Park,AVALON PARK,308,1,0.3,302,98.1,0,0,1,0.3,3,1,1,0.3,0,0,0,0,0,0,41.7485087,-87.5911282
610544,Azuela,Mariano Azuela Elementary School,8660,Network 10,610544,Azuela,AZUELA,944,28,3,8,0.8,0,0,6,0.6,884,93.6,1,0.1,3,0.3,0,0,14,1.5,41.7711079,-87.7385027
610563,Back Of The Yards Ib HS,Back of the Yards IB HS,9623,Network 8,610563,Back of the Yards IB HS,BACK OF THE YARDS IB HS,281,6,2.1,9,3.2,0,0,1,0.4,248,88.3,0,0,17,6,0,0,0,0,41.80774359999999,-87.6776045
610555,Banner Academy West HS,Banner Academy West,8685,Options,610555,Banner West HS,BANNER WEST HS,296,0,0,283,95.6,0,0,0,0,7,2.4,5,1.7,0,0,0,0,1,0.3,41.909154,-87.7525802
609788,Barnard,Alice L Barnard Computer Math & Science Ctr ES,2150,OS4,609788,Barnard,BARNARD,301,1,0.3,288,95.7,0,0,0,0,6,2,4,1.3,1,0.3,1,0.3,0,0,41.7053141,-87.6585159
609789,Barry,John Barry Elementary School,2160,Network 4,609789,Barry,BARRY,831,13,1.6,10,1.2,0,0,1,0.1,791,95.2,7,0.8,9,1.1,0,0,0,0,41.9326996,-87.73987790000001
609790,Barton,Clara Barton Elementary School,2170,Network 11,609790,Barton,BARTON,591,2,0.3,584,98.8,0,0,0,0,4,0.7,1,0.2,0,0,0,0,0,0,41.7542839,-87.6711625
609791,Bass,Perkins Bass Elementary School,2180,Network 11,609791,Bass,BASS,566,0,0,552,97.5,0,0,2,0.4,11,1.9,0,0,0,0,1,0.2,0,0,41.7752089,-87.65402399999999
