SchoolName,Address,Grades

ACE TECHNICAL CHTR HS,5410 S State St,9-12

ADDAMS,10810 S Avenue H,K-8*

AGASSIZ,2851 N Seminary Ave,K-8*

AIR FORCE HS,3630 S Wells St,9-12

ALBANY PARK,4929 N Sawyer Ave,7-8*

ALCOTT ES,2625 N Orchard St,K-8*

ALCOTT PREP HS,2957 N Hoyne Ave,9-12

ALDRIDGE,630 E 131st St,K-8*

AMANDLA CHTR HS,6800 S Stewart Ave,5-11

AMUNDSEN HS,5110 N Damen Ave,9-12*

ARIEL,1119 E 46th St,PK-8

ARMOUR,950 W 33rd Pl,K-8*

"ARMSTRONG, G",2110 W Greenleaf Ave,K-8*

"ARMSTRONG, G",2110 W Greenleaf Ave,3-8*

ASHBURN,8300 S St Louis Ave,PK-8

ASHE,8505 S Ingleside Ave,K-8*

ASIAN HUMAN SERVICES CHTR - PASSAGES,1643 W Bryn Mawr Ave,PK-8

ASPIRA CHTR - EARLY COLLEGE HS,3986 W Barry Ave,9-12

ASPIRA CHTR - HAUGAN,3729 W Leland Ave,6-8*

ASPIRA CHTR - RAMIREZ HS,1711 N California Ave,12

ATTUCKS,5055 S State St,2-8

AUDUBON,3500 N Hoyne Ave,K-8*

AUSTIN BUS & ENTRP HS,231 N Pine Ave,9-12

AUSTIN POLY HS,231 N Pine Ave,9-12

AVALON PARK,8045 S Kenwood Ave,K-8*

AZUELA,4707 W Marquette Rd,K-8*

BACK OF THE YARDS HS,2111 W 47th St,9-10

BANNER ACADEMY WEST HS,5035 W North Ave,9-12

BARNARD,10354 S Charles St,K-8*

BARRY,2828 N Kilbourn Ave,K-6*

BARTON,7650 S Wolcott Ave,K-8*

BASS,1140 W 66th St,K-8*

BATEMAN,4220 N Richmond St,K-8*

BEARD,6445 W Strong St,"PK, K"

BEASLEY,5255 S State St,PK-8

BEAUBIEN,5025 N Laramie Ave,K-8*

BEETHOVEN,25 W 47th St,K-8*

BEIDLER,3151 W Walnut St,K-8*

BELDING,4257 N Tripp Ave,K-8*

BELL,3730 N Oakley Ave,K-8*

BELMONT-CRAGIN,5252 W Palmer St,PK-8

BENNETT,10115 S Prairie Ave,K-8*

BLACK,9101 S Euclid Ave,K-8

BLAINE,1420 W Grace St,K-8*

BLAIR,6751 W 63rd Pl,PK

BOGAN HS,3939 W 79th St,9-12*

BOND,7050 S May St,K-8*

BOONE,6710 N Washtenaw Ave,K-8*

BOUCHET,7355 S Jeffery Blvd,K-8*

BOWEN HS,2710 E 89th St,9-12*

BOWEN HS,2710 E 89th St,12*

BOWEN HS,2710 E 89th St,9-12*

BRADWELL,7736 S Burnham Ave,K-8*

BRENNEMANN,4251 N Clarendon Ave,K-8*

BRENTANO,2723 N Fairfield Ave,K-8*

BRIDGE,3800 N New England Ave,K-8*

BRIGHT,10740 S Calhoun Ave,K-8*

BRIGHTON PARK,3825 S Washtenaw Ave,K-8*

BRONZEVILLE HS,4934 S Wabash Ave,9-12

BRONZEVILLE LIGHTHOUSE CHTR,8 W Root St,K-8

BROOKS HS,250 E 111th St,9-12

"BROWN, R",12607 S Union Ave,K-8*

"BROWN, W",54 N Hermitage Ave,K-8*

"BROWN, W",54 N Hermitage Ave,6-8*

BROWNELL,6741 S Michigan Ave,K-6*

BRUNSON,932 N Central Ave,K-8*

BUDLONG,2701 W Foster Ave,K-8*

BURBANK,2035 N Mobile Ave,K-8*

BURKE,5356 S King Dr,K-8*

BURLEY,1630 W Barry Ave,K-8*

BURNHAM,9928 S Crandon Ave,K-8*

BURNSIDE,650 E 91st Pl,PK-8

BURR,1621 W Wabansia Ave,K-8*

BURROUGHS,3542 S Washtenaw Ave,K-8*

BYRNE,5329 S Oak Park Ave,K-8*

CALDWELL,8546 S Cregier Ave,K-8*

CALDWELL,8546 S Cregier Ave,6-8*

CALMECA,3456 W 38th St,K-8*

CAMELOT SAFE - GARFIELD PARK ES,241 N Kolmar Ave,6-8

CAMELOT SAFE - GARFIELD PARK HS,241 N Kolmar Ave,9-12

CAMELOT SAFE ACADEMY ES,7877 S Coles Ave,6-8

CAMELOT SAFE ACADEMY HS,7877 S Coles Ave,9-12

CAMERON,1234 N Monticello Ave,K-8*

CAMRAS,3000 N Mango Ave,K-8*

CANTY,3740 N Panama Ave,K-8*

CARDENAS,2345 S Millard Ave,K-3*

CARNEGIE,1414 E 61st Pl,K-8*

CARROLL,2929 W 83rd St,K-8*

CARSON,5516 S Maplewood Ave,K-8*

CARTER,5740 S Michigan Ave,K-8*

CARVER MILITARY,13100 S Doty Ave,9-12

"CARVER, G",901 E 133rd Pl,K-8*

CASALS,3501 W Potomac Ave,K-8*

CASSELL,11314 S Spaulding Ave,K-8*

CASTELLANOS,2524 S Central Park Ave,4-8*

CATALYST CHTR - CIRCLE ROCK,5608 W Washington Blvd,K-8

CATALYST CHTR - HOWLAND,1616 S Spaulding Ave,K-8

CATALYST CHTR - MARIA,6727 S California Ave,"K-7, 9-12"

CATHER,2908 W Washington Blvd,K-8*

CHALMERS,2745 W Roosevelt Rd,K-8*

CHAPPELL,2135 W Foster Ave,K-8*

CHASE,2021 N Point St,K-8*

CHAVEZ,4747 S Marshfield Ave,K-8*

CHGO ACAD HS,3400 N Austin Ave,9-12

CHGO AG HS,3857 W 111th St,9-12

CHGO ARTS CONTR HS,2714 W Augusta Blvd,9-12

CHGO MATH & SCI ACAD CHTR HS,7212 N Clark St,6-12

CHGO MILITARY ACAD HS,3519 S Giles Ave,9-12

CHICAGO ACAD ES,3400 N Austin Ave,PK-8

CHICAGO CHTR COLLEGIATE,11816 S Indiana Ave,4-6

CHICAGO EXCEL CONTR ACAD,1269 W 111th St,9-12

CHICAGO TECH ACADEMY,1301 W 14th St,9-12

CHICAGO VIRTUAL CHTR HS,38 S Peoria St,K-12

CHICAGO VOCATIONAL HS,2100 E 87th St,9-11*

CHOPIN,2450 W Rice St,K-8*

CHRISTOPHER,5042 S Artesian Ave,K-8

CHRISTOPHER HOUSE CHTR,5235 W Belden Ave,K-2

CICS - AVALON / SOUTH SHORE,1501 E 83rd Pl,K-8

CICS - BASIL,1816 W Garfield Blvd,K-8

CICS - BUCKTOWN,2235 N Hamilton Ave,K-8

CICS - CHICAGOQUEST NORTH,1443 N Ogden Ave,6-9*

CICS - ELLISON,1817 W 80th St,9-12*

CICS - HAWKINS,801 E 133rd Pl,7-12

CICS - IRVING PARK,3820 N Spaulding Ave,K-8

CICS - LLOYD BOND,13300 S Langley Ave,K-6

CICS - LONGWOOD,1309 W 95th St,3-12

CICS - LOOMIS,9535 S Loomis St,K-2

CICS - NORTHTOWN,3900 W Peterson Ave,9-12*

CICS - PRAIRIE,11530 S Prairie Ave,K-8

CICS - WASHINGTON PARK,6105 S Michigan Ave,K-8

CICS - WEST BELDEN,2245 N McVicker Ave,K-8

CICS - WRIGHTWOOD,8130 S California Ave,K-8*

CLAREMONT,2300 W 64th St,K-8*

CLARK HS,5101 W Harrison St,8-12

"CLARK, G",1045 S Monitor Ave,K-8*

CLAY,13231 S Burley Ave,K-8*

CLEMENTE HS,1147 N Western Ave,9-12*

CLEVELAND,3121 W Byron St,K-8*

CLINTON,6110 N Fairfield Ave,K-8*

CLISSOLD,2350 W 110th Pl,K-8*

COLEMON,1441 W 119th St,K-8*

COLES,8441 S Yates Blvd,K-8*

COLLINS HS,1313 S Sacramento Dr,9-12

COLUMBIA EXPLORERS,4520 S Kedzie Ave,K-8*

COLUMBUS,1003 N Leavitt St,K-8*

